	Ler.1	Ler.2	Ler.3	Mp.1	Mp.2	Mp.3
AT1G45234	8.238591601427064	13.380686228815236	15.313073257390027	15.075808595626647	10.17377052603105	16.347353271677555
AT1G45238	0.0	1.0292835560627105	0.0	1.0050539063751098	1.017377052603105	1.0217095794798472
AT1G45240	2.059647900356766	1.0292835560627105	4.083486201970674	2.0101078127502197	1.017377052603105	4.086838317919389
AT1G45242	0.0	0.0	2.041743100985337	0.0	0.0	0.0
AT1G45243	0.0	0.0	0.0	0.0	0.0	0.0
AT1G45244	0.0	0.0	0.0	0.0	0.0	0.0
AT1G45246	0.0	1.0292835560627105	0.0	0.0	0.0	0.0
AT1G45248	7.606906932203175	5.842240141107565	5.953246622743422	8.517994662237431	7.277651832011843	8.500270626687627
AT1G45249	11.51175206758496	11.634988998318994	11.475789396205414	12.623441998954714	11.692071561359363	11.709780963249186
AT1G45256	0.0	0.0	0.0	0.0	0.0	0.0
AT1G45332	14.031181270990544	13.656702823109464	13.108152537369534	13.765388244778253	13.81321181856633	14.91668992392506
AT1G45403	0.14538691061341877	0.0	0.0	0.0	0.0	0.0
AT1G45474	150.94276755471728	164.85341526490103	175.2815618082636	203.57879656233143	195.7599551584309	196.89386157372044
AT1G45545	0.5848066267513607	0.43068402843968956	0.42716418551125357	0.5407014788966967	0.27366555835899214	0.30536774480095064
AT1G45616	0.09109007913125748	0.20484513032206278	0.24832010687659503	0.2666973510774247	0.4274483439683807	0.4970479035307365
AT1G45688	67.5278484578222	74.01652711396522	68.03447501039051	75.59401111061892	69.7089348132022	75.79780230556506
AT1G45760	0.0	0.0	0.0	0.0	0.0	0.0
AT1G45832	0.0	0.0	0.0	0.0	0.0	0.0
AT1G45904	0.0	0.0	0.0	0.0	0.0	0.0
AT1G45976	18.84681155644185	22.244917522666334	20.526688165758937	17.969960479870693	18.680267621374735	21.958213236580264
AT1G46048	0.0	0.38800217820164995	0.0	0.0	0.0	0.0
AT1G46120	0.0	0.01982568647311802	0.039327314946748064	0.0193589837504034	0.019596347722692233	0.019679799283720975
AT1G46192	0.0	0.0	0.0	0.0	0.0	0.0
AT1G46264	12.225675894376979	9.933978990420218	12.073139192484723	10.474318873235882	10.741043067633536	9.6294038151606
AT1G46336	0.0	0.0	0.0	0.0	0.0	0.0
AT1G46408	0.0	0.0	0.0	0.0	0.0	0.0
AT1G46480	10.328213587651808	9.809222081063336	9.98374173288464	11.935276326849536	12.893826429664298	11.521315507481686
AT1G46552	0.09684021473161983	0.11292096479225208	0.09599836957179642	0.1102627707472911	0.11161472235785043	0.12810289895089072
AT1G46554	9.813616466405769	9.886311803190571	13.202700136203502	11.40187204711259	10.464449683917652	9.349930521458434
AT1G46624	0.0	0.0	0.0	0.0	0.0	0.0
AT1G46696	0.0	0.0	0.0	0.0	0.0	0.0
AT1G46768	3.628205376073306	4.4174945502193195	4.773755221876748	1.4807555773640406	1.8899317489637748	2.6833511375662886
AT1G46840	0.0	0.0	0.0	0.0	0.0	0.0
AT1G46912	0.0	0.0	0.0	0.0	0.0	0.0
AT1G46984	0.0	0.0	0.0	0.0	0.0	0.06609442023589308
AT1G47056	12.890227167155883	11.477303406680807	13.758207357408885	9.908285280079545	11.645054263641693	10.147933915572144
AT1G47128	506.1646429433303	497.2099304169529	515.4002219942224	418.5339854579097	460.5012229846158	455.8304845705212
AT1G47130	2.824659977632136	1.0586916576645022	1.4000524121042308	0.0	0.3488149894639217	0.35030042725023336
AT1G47200	51.13864516561484	52.00200164324036	48.707529111794344	50.270804398149636	56.4598436399561	51.03025142915561
AT1G47210	13.267163398284719	12.640565946027667	11.30811563622648	13.190072002059969	11.391900910084265	10.78433255129899
AT1G47220	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47230	10.530930516995214	10.334033482173837	10.107221496678866	11.445546099713967	11.869617879046684	11.49274868486563
AT1G47240	12.272660592470661	12.120194149814301	10.681434350967626	13.082534198057095	13.459447352073393	12.683291331473967
AT1G47250	2.097943698019018	3.2950387081716515	1.9014454748060694	2.398479492012388	2.723971542620439	2.8545095446098236
AT1G47260	43.24159959523511	44.037348752727915	43.02280760138251	45.34665733330777	45.17197606698617	46.59607179433279
AT1G47265	0.0	0.12476164315911642	0.0	0.0	0.0	0.0
AT1G47270	6.62864332859805	6.158005917074324	6.0655565819529995	6.3862680308809265	5.45710556582525	6.197005266025618
AT1G47271	2.9912734787577486	2.808509654195562	3.0551265960954184	3.980898113270606	3.1342178148653113	4.13679966654921
AT1G47278	27.240915883356365	22.637864960586672	20.48064287056499	23.82257804089115	19.956969056635522	21.180703852003276
AT1G47280	0.0	0.0	0.0	0.0	0.11930154362772566	0.0
AT1G47290	23.771484404782075	23.348664853143475	22.58805490458861	20.875737616801285	19.18482442051569	21.38461910539215
AT1G47300	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47310	17.71699423075412	16.81379915819844	14.81876267894929	11.887461252197735	13.674108576055517	15.464727649886807
AT1G47317	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47320	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47330	19.46268770454024	20.633799151505812	17.92654782182875	21.53229197930097	19.266375215076867	19.07480753698401
AT1G47340	6.70161217172862	7.041587618765055	5.83422767906123	5.743830667719632	5.771816975138821	6.861910455000226
AT1G47350	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47360	0.0	0.0	0.018108586261510747	0.017828007208427667	0.0	0.0
AT1G47370	1.018507203473126	0.6786484985028859	1.1442736060467271	1.1265439390138592	1.207436501990498	1.2799438687989293
AT1G47380	11.947436922895353	11.34244608099267	11.0188146527144	11.497672336485097	11.276994475352907	11.721228389364851
AT1G47389	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47390	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47395	3.827532952883882	2.935867622094838	1.9412491428335974	4.691055927954894	7.034924157255564	3.8856854115151935
AT1G47400	2.8554810428566206	2.2831861166577196	2.170171100918946	2.693905720810307	4.325484978461468	2.171952584876286
AT1G47405	0.0672233222237929	0.06718804717725761	0.0	0.13121283999820108	0.19923249624865882	0.13338728870815775
AT1G47410	7.315869342067233	6.8509113491534	6.990928377773793	8.169078151016892	9.962156099089604	10.266137854613504
AT1G47420	101.62896479504343	105.95446769052346	105.74657285425579	89.72603003019333	90.82617697903459	97.79873611278896
AT1G47430	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47435	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47440	0.1575368082425855	0.15745414172064126	0.0	0.20499683076206207	0.05187758341885521	0.10419701093845468
AT1G47450	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47460	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47465	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47470	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47480	25.545027477747258	22.49936362483398	22.856829477479057	20.252411939918744	24.217237075383892	24.982555020341927
AT1G47485	0.2317103887901362	0.0	0.11484804943042519	1.2437542091391984	0.2289098368356986	0.22988465538296562
AT1G47490	43.8756671267343	42.79551422866148	42.48191498852915	53.99705256759222	46.48006918139517	51.852389361737686
AT1G47495	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47497	0.0	0.06587414758801347	0.0	0.0	0.06511213136659871	0.0
AT1G47500	25.397227768132	28.841769549736014	26.501522328802253	29.85106024364165	27.187594618874066	28.90257130668548
AT1G47510	0.4075895066212199	0.3394796886693319	0.5723988904274054	0.5303811727641441	0.40266320359554864	1.0109448885370913
AT1G47520	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47530	35.5920626268736	36.347452007010155	35.34941597727747	38.1865713092494	38.388657832282824	37.24924842899279
AT1G47540	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47550	29.86207311969317	27.465335756496774	27.05779997938426	30.585680322923146	30.030233937260068	31.71549397502673
AT1G47560	1.8113779027245616	1.5960346751676358	1.488483880756909	1.8143306776607573	1.7894848061215651	1.9153359908474668
AT1G47565	0.0	0.0	0.0	0.030001609145525663	0.0	0.0
AT1G47570	11.956071554293956	13.056260423155123	12.876394447090009	12.10066229414067	11.568528980362846	14.302578161052992
AT1G47578	3.27627712521867	4.222456262545631	2.991391054932005	1.9353131034385835	2.5552725972357053	3.934769915392156
