	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT2G23010	149.882572979071	2.63481550697594	0.239908233742645	10.9825972450882	4.63405687154683e-28	1.72859407694719e-25
AT2G05440	5698.62046510812	-0.761305326614111	0.0694250902122387	-10.9658528967947	5.5772196863915e-28	2.04040437142138e-25
AT2G37130	2874.92927897921	-1.01786262003904	0.0928496738000686	-10.9624792245451	5.78913376903995e-28	2.07797133626823e-25
AT1G13650	596.678484710381	1.67241246833918	0.152743337526013	10.9491680319894	6.70607135570641e-28	2.36252410131405e-25
AT3G02020	1370.52897980473	1.21589614015008	0.112694308283798	10.789330523136	3.86595452562336e-27	1.33719852537198e-24
AT5G42650	3581.82859690996	1.11028574646002	0.103546446994337	10.7225866139158	7.97415544407885e-27	2.70893452085993e-24
AT5G14780	4526.57680325624	-0.996779357907946	0.0930383634133453	-10.7136381309666	8.78404969062359e-27	2.93171511077936e-24
AT5G17880	261.255522817702	9.00550180334948	0.842076349067587	10.694400588879	1.08116440557238e-26	3.5462192502774e-24
AT5G13200	287.046951190785	-1.63347974202115	0.153631448644129	-10.6324568077526	2.10493116121717e-26	6.78715430694838e-24
AT4G15390	412.10948780999	-1.2961496648319	0.122044778205288	-10.6202795719099	2.39841726940884e-26	7.60458168887229e-24
AT3G58120	1048.86465214364	0.853729616809305	0.08054992152977	10.5987641030014	3.01943973858299e-26	9.41669206341029e-24
AT4G39070	152.348708906633	-2.27899284891312	0.21596054617545	-10.5528203612786	4.92947546453813e-26	1.51255389092538e-23
AT2G26710	329.92617756201	-1.37174032578006	0.130868569740207	-10.4818164399837	1.04712950698239e-25	3.16199868902109e-23
AT3G11280	908.022326784746	-0.887106207561862	0.0847235563620141	-10.4705969113402	1.17897213843783e-25	3.50449468150646e-23
AT2G01570	1149.44196729976	-0.832984911978098	0.0799230988743295	-10.4223300111008	1.96089454962453e-25	5.73908583262417e-23
AT3G54600	1346.10033054615	0.896961420044317	0.0871862538595593	10.287876589917	7.99193304901775e-25	2.30361415643202e-22
AT5G63160	2703.46388487407	-0.885801152385832	0.0861550319921646	-10.2814790024846	8.54067972983429e-25	2.42504315194579e-22
AT2G40610	889.084156609636	1.04423152855668	0.101906131171653	10.2469941361796	1.22081064018746e-24	3.41539729690092e-22
AT5G57655	2954.5934943008	-0.692610907407192	0.067821841877003	-10.2122102296081	1.74836114605946e-24	4.82040904965727e-22
AT1G03220	4098.23182707385	-0.822988042071062	0.0811678265614245	-10.1393381705035	3.69595048258845e-24	1.00445374258232e-21
AT5G45950	1089.5056468017	0.963321342563161	0.0956265923385042	10.0737809327467	7.21499356768008e-24	1.93321179762741e-21
AT5G50950	1568.64472892893	1.12871283707676	0.112238129396143	10.0564116949329	8.60787552561136e-24	2.27439199998931e-21
AT5G46240	414.02728712056	1.14508315587148	0.115521641462661	9.9122825937476	3.68137779889465e-23	9.46412584407728e-21
AT5G65730	1186.7617044288	1.36561713745697	0.137769013244362	9.91236784889184	3.67823704348438e-23	9.46412584407728e-21
AT5G14970	3315.90456076848	0.74109502875771	0.0750576802113135	9.87367350911019	5.41445718569444e-23	1.37339511334201e-20
AT3G13750	12217.667079652	-0.575888647523413	0.0586373097257151	-9.82119831583712	9.12522843224937e-23	2.28418875914621e-20
AT5G33370	68.7291325028204	3.36461044621964	0.34510552025612	9.74951210204516	1.85356945224712e-22	4.57952016357782e-20
AT1G78850	4098.48505848569	-0.80388774083925	0.0826938363054187	-9.7212534422783	2.44749856781577e-22	5.96938625052913e-20
AT1G74090	1448.81651440067	0.800266336706265	0.0826493045823737	9.68267477566817	3.57244919334536e-22	8.60281942458255e-20
AT5G46730	210.042992542007	1.59005982283482	0.164254495971497	9.68046453419904	3.65053480801599e-22	8.68097177346203e-20
AT3G63010	350.912625250966	-1.18316067242286	0.122766276549578	-9.63750555670755	5.5520696708512e-22	1.30398238787992e-19
AT5G18340	60.7657540501019	-3.26215436463643	0.338696265126704	-9.63150380006722	5.88616638226366e-22	1.36559060068517e-19
AT3G21950	211.946626237975	1.56896923055985	0.162946453467833	9.6287412040519	6.04656322097678e-22	1.38590143031159e-19
AT3G15450	12672.5409348673	-0.637957312903072	0.066264441238492	-9.62744574585641	6.12325998946516e-22	1.38677259570935e-19
AT4G36850	1002.34004862146	-1.11693742855861	0.116037892370792	-9.62562664435079	6.23258623343277e-22	1.39492612358618e-19
AT1G74670	2135.99629715204	0.760594137381102	0.0794908891505394	9.56831840112762	1.08658557229095e-21	2.37600045140954e-19
AT2G10940	14145.4539818664	0.812491547971455	0.0849143448151022	9.56836621351345	1.08608327453784e-21	2.37600045140954e-19
AT2G33850	1049.1155763456	0.866464620292702	0.0908227800308305	9.54016844671099	1.42600502883749e-21	3.08276359870505e-19
AT2G43820	1300.98697276128	-0.862956956096403	0.090853837033181	-9.49829951354989	2.13345612843801e-21	4.56032240307919e-19
AT3G43340	90.3003889631883	-2.35655414700704	0.248232835665282	-9.49332162560728	2.23787225902352e-21	4.73036465062926e-19
AT5G09220	3237.86906154097	0.825076421808628	0.0870592083894927	9.4771872737153	2.61229485279839e-21	5.46113156919084e-19
AT5G18670	601.710995209933	-1.05889619149507	0.111936363008185	-9.45980522359517	3.08517352302654e-21	6.37960229370184e-19
AT3G49260	1185.95102352284	0.774875216763843	0.0822350049070489	9.4226931419253	4.3966352860742e-21	8.9937193206748e-19
ATCG00160	370.688336668281	-1.89428829677508	0.201436391355609	-9.40390305856386	5.25757353212681e-21	1.06404339228915e-18
AT3G05730	4645.59922185149	0.872075435206196	0.0927748653106446	9.39991054997671	5.46094772954362e-21	1.09356915375619e-18
AT1G12860	1396.98797716479	0.763339155524739	0.081246156924894	9.39538784868789	5.70074029180855e-21	1.12969670116006e-18
AT5G23020	2129.64968278875	0.979855314526418	0.104418192422477	9.3839520853025	6.35451647206072e-21	1.24627135427302e-18
AT1G37130	20292.4358692417	-0.574571687506867	0.061315884965432	-9.3706824557909	7.2065038083217e-21	1.39894416785216e-18
AT5G46740	476.365659321945	1.13841007752488	0.122887954114285	9.26380527473151	1.97273396459928e-20	3.7908374689431e-18
AT1G33560	340.811317535421	-1.30351231499309	0.140864060767304	-9.25368974806416	2.16873902919534e-20	4.08495953380318e-18
AT3G22740	226.594693922049	1.44384987401897	0.156017303868099	9.25442138930717	2.1539383189303e-20	4.08495953380318e-18
AT5G17090	111.053538613081	-7.81303716281509	0.852412679304627	-9.16579181950782	4.91845425205421e-20	9.17339938147837e-18
AT2G39250	714.441371261068	1.1578644155369	0.127083980054456	9.11101788786245	8.16126240765497e-20	1.50737724313814e-17
AT3G09390	13958.2853255347	-0.650139807737307	0.071467321508113	-9.09702216366823	9.28424142386164e-20	1.69830200814946e-17
AT1G21460	756.268931732195	-0.847791109365616	0.0932216390174766	-9.09435961758489	9.51455024280185e-20	1.72385527446726e-17
AT5G45670	547.938390230841	1.26371773201474	0.13926025133442	9.0745041740593	1.14196241828156e-19	2.04949934390457e-17
AT1G64795	56.6906913414907	5.77881308385564	0.636893135974417	9.07344224241689	1.15315133710813e-19	2.05023841468645e-17
AT3G06355	317.017902290921	-1.4761346116236	0.163196460115065	-9.04513866650553	1.49475332298565e-19	2.63298029782212e-17
AT4G38690	668.774390690314	0.967728404489831	0.10808521726814	8.9533835333751	3.44749541879568e-19	6.01698649974028e-17
AT4G03050	2055.57562121193	0.948166769917161	0.106016656230561	8.94356418726434	3.7681631218128e-19	6.45815632696997e-17
AT4G29030	230.490593140325	1.5786304482409	0.176496567863521	8.94425578553801	3.74464399387636e-19	6.45815632696997e-17
AT5G39860	68.0079938444599	2.77982244234502	0.31131157735985	8.92938986053763	4.28364752090571e-19	7.27608128908128e-17
AT1G65860	428.247250139831	1.07025640986476	0.120259372368648	8.89956756620978	5.60646906184558e-19	9.4387139320841e-17
AT3G10985	1770.70223700004	-0.746891084566565	0.0844120070774899	-8.8481616588138	8.89727081188951e-19	1.48475157829286e-16
AT5G56850	828.425285994774	0.777143054162499	0.0882839631738943	8.80276582771605	1.33484899260211e-18	2.20818845524021e-16
AT1G23130	2786.04358505035	0.689426390147923	0.0783797714812996	8.79597346507205	1.41813103866541e-18	2.32573490341127e-16
AT5G19120	4321.38691447421	-0.538472131667048	0.0613595914538127	-8.77567987186442	1.69874430928795e-18	2.76212920853795e-16
AT4G35770	2897.83796721252	-0.880105620926421	0.101000866646264	-8.71384226839183	2.93745019414903e-18	4.73576716046535e-16
AT4G11360	2206.61410608691	-0.584929138671307	0.0673799828905821	-8.68105205103969	3.92124632888509e-18	6.26872186224454e-16
AT5G44380	2680.06256004983	-1.06332458212276	0.122502068488204	-8.6800541023122	3.95580606017776e-18	6.27127120740181e-16
AT1G51805	1937.24184622866	0.5960397517243	0.0689875530014207	8.63981581883367	5.630371481202e-18	8.8522468643295e-16
AT5G24780	87.868291344348	2.8055337808237	0.325987907699115	8.60625107423675	7.54888231735557e-18	1.17713063283092e-15
AT3G04720	870.123319232213	-1.18741784015249	0.13875420506826	-8.55770705881197	1.15134469413202e-17	1.78074646025752e-15
